requirement_id,source,source_file,source_locator,requirement,implementation_path,test_or_evidence_path,required_matrix,status,satisfied_by_prior_commit
"ADR1-L0050","ADR0001","docs\adr\0001-foundation-architecture.md","line 50; section Trade-off matrix","**Weighted score** | | **6.8** | **5.5** | **7.9**","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0058","ADR0001","docs\adr\0001-foundation-architecture.md","line 58; section Decision","The live ANR watchdog runs in eligible application processes. It posts a bounded main-looper heartbeat, suspends when no observable eligible component is active, and contacts the handler only for a credible rate-limited stall. Watchdog evidence remains a candidate and is never converted into an OS-confirmed record through ambiguous correlation.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0064","ADR0001","docs\adr\0001-foundation-architecture.md","line 64; section Reversibility","Decision | Reversibility","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0066","ADR0001","docs\adr\0001-foundation-architecture.md","line 66; section Reversibility","Internal index implementation | Low-cost","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0067","ADR0001","docs\adr\0001-foundation-architecture.md","line 67; section Reversibility","Watchdog thresholds and measured budgets | Low-cost through configuration/ADR","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0068","ADR0001","docs\adr\0001-foundation-architecture.md","line 68; section Reversibility","Raw-artifact retention defaults | Moderate; privacy expectations constrain changes","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0069","ADR0001","docs\adr\0001-foundation-architecture.md","line 69; section Reversibility","Handler topology and Crashpad integration | High-cost","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0070","ADR0001","docs\adr\0001-foundation-architecture.md","line 70; section Reversibility","Public Kotlin/C/Rust ABI | High-cost","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0071","ADR0001","docs\adr\0001-foundation-architecture.md","line 71; section Reversibility","`.tbdiag` v1 format | One-way compatibility commitment","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0072","ADR0001","docs\adr\0001-foundation-architecture.md","line 72; section Reversibility","Privacy and consent claims | One-way product commitment","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0078","ADR0001","docs\adr\0001-foundation-architecture.md","line 78; section Dissenting views","A persistent handler process adds memory that a minimal recorder avoids.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0079","ADR0001","docs\adr\0001-foundation-architecture.md","line 79; section Dissenting views","Raw minidumps create a sensitive-data surface that generated schemas cannot fully inspect.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0080","ADR0001","docs\adr\0001-foundation-architecture.md","line 80; section Dissenting views","OEM lifecycle and `ptrace` behavior may prevent one universal Android support claim.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0081","ADR0001","docs\adr\0001-foundation-architecture.md","line 81; section Dissenting views","Live watchdog thresholds can create false positives and battery regressions.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0087","ADR0001","docs\adr\0001-foundation-architecture.md","line 87; section Consequences","Crashpad and ANR feasibility are tested before broad API implementation.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0088","ADR0001","docs\adr\0001-foundation-architecture.md","line 88; section Consequences","One native handler process is part of the foundation resource budget.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0089","ADR0001","docs\adr\0001-foundation-architecture.md","line 89; section Consequences","Raw minidumps are not ordinary records and cannot enter Standard packages.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0090","ADR0001","docs\adr\0001-foundation-architecture.md","line 90; section Consequences","A minimal emergency path remains required.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0091","ADR0001","docs\adr\0001-foundation-architecture.md","line 91; section Consequences","The runtime architecture contains no transport abstraction.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0092","ADR0001","docs\adr\0001-foundation-architecture.md","line 92; section Consequences","Performance budgets and supported devices are evidence-based release claims.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0093","ADR0001","docs\adr\0001-foundation-architecture.md","line 93; section Consequences","Raw-artifact creation, retention, and export use one explicit lifecycle across minidumps, ANR traces, tombstones, and nonfatal snapshots.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0094","ADR0001","docs\adr\0001-foundation-architecture.md","line 94; section Consequences","Watchdog candidates and OS-confirmed exits remain distinct records with confidence-scored links.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0098","ADR0001","docs\adr\0001-foundation-architecture.md","line 98; section Related documents","`docs/architecture/tracebox-design.md`","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0099","ADR0001","docs\adr\0001-foundation-architecture.md","line 99; section Related documents","`docs/implementation-plan.md`","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0011","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 11; section Decisions","Crashpad is pinned to upstream commit `efdc820b087c20eec9e32cb5e5b1a63dcf73a724`.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0012","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 12; section Decisions","Source is acquired only from immutable `chromium.googlesource.com` commit archives. The byte size and SHA-256 of the archive and every required DEPS archive are locked and verified from the same read handle before extraction. A complete preflight rejects absolute paths, drive prefixes, traversal, duplicate paths, links, devices, FIFOs, and every entry type other than regular files and directories before the destination is created. Extracted trees and the complete post-patch checkout remain independently hash-verified.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0013","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 13; section Decisions","Local patches are ordered files under `third_party/crashpad/patches/series`. A patch changes only Android build integration, uploader exclusion, hard bounds, page compatibility, or Tracebox capture hooks. Every patch records rationale, upstream status, and source-file hashes.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_STATIC; API30_API37_RUNTIME; blocked-egress controls","NOT_STARTED",""
"ADR2-L0014","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 14; section Decisions","Updating Crashpad requires a new reviewed pin, refreshed provenance and licenses, a clean patch rebase, and the complete Phase 0 feasibility matrix.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0018","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 18; section Decisions","`ThreadListStream` with Crashpad's normal captured context and stack memory.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0019","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 19; section Decisions","`ModuleListStream`.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0020","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 20; section Decisions","`ExceptionStream`.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0021","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 21; section Decisions","`SystemInfoStream`.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0022","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 22; section Decisions","`MiscInfoStream`.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0023","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 23; section Decisions","Crashpad Linux streams for `/proc/cpuinfo`, `/proc/status`, `/etc/lsb-release`, and mappings when emitted by the pinned Android implementation.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0024","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 24; section Decisions","`UnloadedModuleListStream` when naturally emitted.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0030","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 30; section Decisions","Raw storage is credential-encrypted app-private `noBackupFilesDir`, at most 8 artifacts and 16 MiB total. Enhanced-session TTL is 24 hours. Minimal/Standard transient artifacts have two extraction attempts and a ten-minute deadline, then are deleted under the precedence rules. A raw artifact is never Standard-package eligible.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR2-L0034","ADR0002","docs\adr\0002-crashpad-source-and-privacy-profile.md","line 34; section Rationale","The pin is current, immutable, Apache-2.0 licensed, and supports the required Android architecture. The fixed stream inventory preserves useful unwinding while treating all opaque memory as sensitive. The quotas are stricter than the package bounds and do not expand collection.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0011","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 11; section Decisions","Production ABIs are `arm64-v8a` and `x86_64`.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","API30_API37_X86_64_AND_ALL_AVAILABLE_ARM64; page-size cells where available","NOT_STARTED",""
"ADR3-L0012","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 12; section Decisions","One non-exported Android service runs in `:tracebox_handler`. After minimal service bootstrap it enters the native handler loop and initializes no ordinary recorder or watchdog.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0013","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 13; section Decisions","Crashpad transport and a separate bounded control channel use private same-UID local Unix sockets. Messages are fixed-size or length-prefixed with a 64 KiB hard maximum, peer credentials are verified, and queues are finite.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","API30_API37_X86_64_AND_ALL_AVAILABLE_ARM64; page-size cells where available","NOT_STARTED",""
"ADR3-L0014","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 14; section Decisions","Startup timeout is 2 seconds. Control operations time out after 500 ms. Nonfatal capture has a 2-second overall deadline and a 100 ms target-process-pause ceiling.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0015","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 15; section Decisions","Socket closure is the death signal; no timer or polling detects liveness.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0016","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 16; section Decisions","Reconnection occurs only on explicit initialization, foreground/component activation, capture, or package preparation.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0017","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 17; section Decisions","At most three handler starts are attempted in a rolling ten-minute window. Exceeding the limit enters crash-loop `Degraded` until a later explicit lifecycle trigger outside the window.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0018","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 18; section Decisions","A hung request is cancelled by closing its request channel. The client enters `Degraded` and retains the emergency path.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0019","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 19; section Decisions","The default coexistence mode is `Exclusive`. `BestEffortChain` and `DisableOnConflict` remain explicit. `DisableOnConflict` is non-certifying.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0020","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 20; section Decisions","Exactly one primary Crashpad result or one emergency fallback result is accepted per dispatch token. Chaining never reports a duplicate Tracebox capture.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR3-L0021","ADR0003","docs\adr\0003-handler-topology-abi-and-coexistence.md","line 21; section Decisions","There is no uploader, network dependency, maintenance timer, or transport abstraction.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_STATIC; API30_API37_RUNTIME; blocked-egress controls","NOT_STARTED",""
"ADR4-L0015","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 15; section Decisions","schema/build fingerprint;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0016","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 16; section Decisions","process role and package-localizable process-instance reference;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0017","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 17; section Decisions","elapsed timestamp and wall-clock discontinuity flag;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0018","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 18; section Decisions","readiness transition code;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0019","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 19; section Decisions","signal/exit reason and bounded status code;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0020","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 20; section Decisions","emergency completion/checksum state;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0021","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 21; section Decisions","bounded drop, corruption, and evidence-loss counters;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_FUZZ_SMOKE; nightly/certification duration per frozen protocol","NOT_STARTED",""
"ADR4-L0022","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 22; section Decisions","active/pending deny epoch and deny reason.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0028","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 28; section Decisions","numeric IDs are never reused;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0029","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 29; section Decisions","field meaning and privacy class never broaden under an existing ID;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0030","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 30; section Decisions","bounds may only tighten compatibly;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0031","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 31; section Decisions","incompatible changes require a new record/ABI version;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0032","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 32; section Decisions","release recording rejects unknown fields;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0033","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 33; section Decisions","compatibility decoders quarantine bounded unknown fields as non-exportable C2;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0034","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 34; section Decisions","generated Kotlin/C/Rust surfaces are the only recording APIs.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0038","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 38; section Decisions","`SUCCESS`: every required live or unverified participant crossed the target barrier;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0039","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 39; section Decisions","`LOCAL_ONLY_RESTRICTED`: caller applied a tightening locally but package-wide proof failed;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0040","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 40; section Decisions","`PARTIAL`: named participants failed or remained unverified;","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0041","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 41; section Decisions","`FAILED`: no safe requested transition was committed.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0043","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 43; section Decisions","Ambiguity is restrictive. Loosening never returns local-only success. Deletion success requires the same global proof and no accessible in-scope Tracebox-owned data.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR4-L0047","ADR0004","docs\adr\0004-foundation-storage-schema-and-policy.md","line 47; section Rationale","These choices implement the accepted baseline without introducing the separately gated encryption milestone. Direct Boot cannot structurally admit C1/C2. Policy outcomes avoid a false global-success claim.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR5-L0011","ADR0005","docs\adr\0005-live-anr-thresholds-and-sampling.md","line 11; section Decisions","Foreground-interactive heartbeat interval: 2 seconds.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR5-L0012","ADR0005","docs\adr\0005-live-anr-thresholds-and-sampling.md","line 12; section Decisions","Foreground non-interactive interval: 5 seconds.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR5-L0013","ADR0005","docs\adr\0005-live-anr-thresholds-and-sampling.md","line 13; section Decisions","No eligible observable component: heartbeat and watchdog waits are suspended.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR5-L0014","ADR0005","docs\adr\0005-live-anr-thresholds-and-sampling.md","line 14; section Decisions","Suspected stall threshold: 3 seconds without acknowledgement.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR5-L0015","ADR0005","docs\adr\0005-live-anr-thresholds-and-sampling.md","line 15; section Decisions","Credible stall threshold: two missed acknowledgements and at least 5 seconds elapsed.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
