"work_package","work","dependencies","acceptance","status","satisfied_by_prior_commit","notes_or_evidence"
"R2.8","Crash-recoverable deletion engine","R2.2;R2.3;R2.4;R2.5;R2.6;R2.7","Journaled deletion and bounded compaction","IN_PROGRESS","","Phase 2 ordinary-segment/index deletion journal and fault resume are tested; handler stores, summary tombstones, and global quiesce await Phase 3. OS-owned ApplicationExitInfo is unaffected."
"T5.1","Bounded Rust parser/validator","P4.2;P4.3","Fuzzed streaming parser","PASS","","Bounded STORED-v1 parser validates before allocating entry payloads, rejects traversal/duplicates/ZIP comments/extras/unsupported compression, and mutation/truncation smoke tests prove no panic. Evidence: `evidence/phase5/cli-parser-and-symbolication.json`."
"T5.2","Gradle build/symbol plugin","C1.6","Build identity and conformance plugin","IN_PROGRESS","","Phase 1 public-AGP identity capture already collects R8 SHA-256/ID and genuine GNU ELF build notes with SHA-256 fallback. Merged-manifest/dependency-lock release tasks remain to be integrated."
"T5.3","Offline retrace/symbolication","T5.1;T5.2","Exact-match offline symbols","IN_PROGRESS","","CLI exact module-identity/offset resolver returns typed resolved, unresolved, or hard identity mismatch with raw frame retained; R8/ELF catalog adapters remain to be integrated. Evidence: `evidence/phase5/cli-parser-and-symbolication.json`."
"T5.4","No-network conformance","ALL_FOUNDATION","Static, manifest, native, CLI and runtime proof","IN_PROGRESS","","Repeatable host-static scan reads the generated release merged manifest and locked Android runtime closures. DEX/native-import scanning and blocked-egress runtime proof on the required existing emulator remain pending. Evidence: `evidence/phase5/review-fix-round4-host-validation.json`."
"T5.5","Personal-project resource qualification","R2.*;X3.*;P4.*","Architectural invariants plus one-emulator resource baseline","IN_PROGRESS","","Record one useful API 36 emulator baseline for memory, idle CPU/wakeups, startup/readiness, ANR target pause, capture latency, package memory, and artifact size. Numerical percentile budgets, battery studies, physical devices, and OEM comparisons are advisory under ADR-0010."
"T5.6","Personal release readiness","ALL_PREVIOUS","Host gates, one-emulator suite, current documentation, and final review","IN_PROGRESS","","`PERSONAL_RELEASE_READY` requires complete implementation, host/static gates, the existing API 36 x86_64 4 KiB emulator suite, and final approval. Tracker at `G:\Github\Tracker-Android` is a downstream evaluation host after `PERSONAL_RELEASE_READY`; physical/OEM lanes do not block."
"X3.1","Handler service and IPC","F0.4;C1.4;R2.1","One handler and bounded local IPC","IN_PROGRESS","","Production non-exported handler service and explicit-trigger/death readiness state are host-tested; transport protocol integration and qualification remain."
"X3.10","Exit reconciliation","C1.6;R2.4;R2.5;R2.8;X3.6;X3.7;X3.8;X3.9","Policy-safe idempotent OS exit import","IN_PROGRESS","","Host-tested synthetic `ApplicationExitInfo` logic derives keys from every documented source field and persists installation-lifetime tombstones plus the exhaustion-disable state across ledger reconstruction; it never evicts on exhaustion and links `UNMATCHED`/`POSSIBLE`/`PROBABLE`/`EXACT`. The live Android API adapter and crash-safe raw import journal remain pending. API 37 `AnrInfo` is an advisory capability outside the required emulator lane."
"X3.2","Production global policy coordinator","R2.2;R2.3;R2.8;X3.1","Control page, census, leases, global barriers","IN_PROGRESS","","Durable census, lease probing, reboot fencing, and honest barrier outcomes are host-tested; CE/DE transaction and real multi-process Android validation remain."
"X3.3","Capture-only Crashpad integration","F0.3;C1.1;C1.6;R2.5;R2.8;X3.1;X3.2","Private capture-only Crashpad lifecycle","IN_PROGRESS","","Host-tested capture-start lifecycle now forces `raw_artifact_id`, origin process-instance/role, and epoch journal before capture bytes; CE raw artifacts participate in the R2.8 deletion transaction and simulated crash-orphan bytes are deleted without parsing. The Phase 0 C++ Crashpad capture-start hook has not yet invoked this seam, so live Android Crashpad lifecycle qualification remains."
"X3.4","Structural summary derivation and spool","X3.3;C1.2;C1.6;R2.5;R2.8","Canonical summary staging and replay","IN_PROGRESS","","Deterministic canonical summary staging, idempotent replay, and the target-segment import acknowledgement sequence (append -> flush/seal -> acknowledgement -> retire) are host-tested, including crash recovery at the after-append-before-acknowledgement boundary. Wiring to Phase 1's Rust `SummaryId::derive` FFI boundary remains pending; the current derivation is Kotlin-side only."
"X3.5","Emergency writer production path","F0.5;R2.5","Signal-safe emergency capture","IN_PROGRESS","","Phase 0 signal-safe implementation was not changed. Startup-time ingestion of a completed slot into a generated `EmergencyRecord` through the policy-gated segment path, with slot reset and safe rejection of incomplete/invalid slots, is host-tested. Live on-device startup wiring remains pending."
"X3.6","Crash dispatch/coexistence state machine","X3.3;X3.4;X3.5","Exactly one primary/fallback result","IN_PROGRESS","","Typed core's host-tested best-effort dispatch plan now accurately models one prior-handler invocation followed by default-signal termination only if that handler returns. A true JNI/native policy handoff remains pending."
"X3.7","JVM uncaught exception capture","C1.2;R2.5","Bounded JVM capture and exact chaining","IN_PROGRESS","","Bounded no-message-default wrapper, cycle handling, recursion guard, and exact prior-handler chaining are host-tested. The generated-record storage adapter now persists through the same policy-gated segment path as other writers, with a typed Dropped result on policy denial, host-tested for both outcomes. Live on-device installation wiring remains pending."
"X3.8","Rust panic/fault integration","C1.5;X3.6","Contained panic and native fault paths","IN_PROGRESS","","Bounded global hook and cfg-gated unwind containment are cargo-tested. The bounded `extern ""C""` structured-record bridge now persists validated records into a process-local 64-entry Rust ring that is retrievable by a consumer; Android/JNI/native consumption of that ring remains unwired. A release (`panic=""abort""`) probe binary was built and run, confirming abort-mode termination (process exit `-1073740791`, not a graceful return) rather than unwind; this is host/Windows-level Rust-panic-strategy evidence, not Android/ART-level validation."
"X3.9","Live ANR watchdog","F0.6;X3.3;R2.1;R2.5","Adaptive bounded watchdog","IN_PROGRESS","","The actual Android `AnrWatchdog` now consumes main-looper delay/stack timestamps through an internally synchronized `AnrStateMachine`; a deterministic host interleaving test proves recovery serializes after an in-flight candidate transition. Device measurement remains unperformed; responsive-looper limitation is documented in design section 13.6."
